objective,ann_return_pit,active_ann_return_pit,downside_capture_pit,maxdd_loss_pit,cvar_loss_pit,ann_return_current,active_ann_return_current,downside_capture_current,maxdd_loss_current,cvar_loss_current,ann_return_delta_current_minus_pit,active_ann_return_delta_current_minus_pit,downside_capture_delta_current_minus_pit,maxdd_loss_delta_current_minus_pit,cvar_loss_delta_current_minus_pit,survivorship_inflation_flag
upside_convex_anchor_dd_budget_policy,0.1920876850677264,0.0824967286668716,0.7550344496514564,0.0319404602441678,0.0113730446522211,0.2124030561796427,0.1013397878544579,0.6913509372458296,0.0320785905355583,0.0116750242387462,0.02031537111191631,0.01884305918758629,-0.06368351240562675,0.0001381302913905022,0.00030197958652510015,True
xcdr_v3_growth_control_policy,0.2133637738142295,0.1037728174133747,0.8583993489402305,0.0375316146384778,0.013260331546339,0.2313638350626569,0.120300566737472,0.835048409944789,0.0382004590160709,0.0135613473921742,0.0180000612484274,0.0165277493240973,-0.023350938995441495,0.0006688443775930974,0.00030101584583520045,True
enhanced_growth_anchor_crash_budget_policy,0.1873671578779314,0.0777762014770765,0.7995943106307508,0.0332476979900447,0.0116916779524835,0.1985839055627139,0.087520637237529,0.7741303822586236,0.0337449479804421,0.0119495115320697,0.011216747684782508,0.009744435760452488,-0.025463928372127187,0.0004972499903974012,0.00025783357958620093,False
enhanced_growth_anchor_dd_control_policy,0.1873671578779314,0.0777762014770765,0.7995943106307508,0.0332476979900447,0.0116916779524835,0.1985839055627139,0.087520637237529,0.7741303822586236,0.0337449479804421,0.0119495115320697,0.011216747684782508,0.009744435760452488,-0.025463928372127187,0.0004972499903974012,0.00025783357958620093,False
tail_aware_anchor_dd_budget_policy,0.1889677608513776,0.0793768044505228,0.7708577302339489,0.0322501915631304,0.0115064383749169,0.19326373722296,0.0822004688977751,0.741017423666255,0.0326267326265271,0.0117789472057612,0.004295976371582411,0.002823664447252308,-0.029840306567693875,0.0003765410633966987,0.00027250883084429904,False
balanced_anchor_xodr_v1_policy,0.1939296284864852,0.0843386720856303,0.8025192479357122,0.0338753130973943,0.0119402243294289,0.206605674887388,0.0955424065622032,0.7773334482930958,0.0342455488893721,0.0121023557947538,0.012676046400902807,0.011203734476572899,-0.025185799642616358,0.0003702357919777993,0.00016213146532489953,True
fundamental_upside_convex_anchor_dd_budget_policy,0.1962373666033583,0.0866464102025034,0.7453407609682408,0.0318534012068875,0.0113719641065095,0.2115535982153676,0.1004903298901828,0.7009971534549209,0.032067199268212,0.0116200704684864,0.01531623161200929,0.01384391968767941,-0.044343607513319894,0.0002137980613245022,0.00024810636197690125,True
tail_convex_anchor_dd_budget_policy,0.1882376663895693,0.0786467099887144,0.7573457871247188,0.0316913147021073,0.0113545688127202,0.1984236159407306,0.0873603476155458,0.7130361867617343,0.0320098239852935,0.0116098500911028,0.01018594955116131,0.008713637626831403,-0.04430960036298448,0.00031850928318619826,0.0002552812783825995,False
enhanced_growth_anchor_dd_budget_policy,0.1960641391812541,0.0864731827803993,0.778545674970801,0.0331892888108443,0.0118124320811251,0.2125428627280449,0.10147959440286,0.7469740312972917,0.0328765718203887,0.0118500536706135,0.016478723546790808,0.015006411622460705,-0.031571643673509286,-0.0003127169904555971,3.7621589488400636e-05,True
fundamental_upside_recovery_anchor_dd_budget_policy,0.199726303159156,0.0901353467583011,0.7519540002184893,0.0321524408515056,0.0114450594816766,0.2175062536566637,0.1064429853314788,0.7065795920671127,0.0324236275614621,0.0116789125205769,0.01777995049750772,0.016307638573177713,-0.04537440815137661,0.00027118670995650296,0.00023385303890030053,True
