objective,windows,ann_return,xi_ann_return,active_ann_return,ann_vol,downside,cvar_loss,maxdd_loss,upside_capture,downside_capture,downside_preservation_rate,xcdr_v3,capture_pass_rate,xodr_v1,xodr_pass_rate,xodr_uc_omega,xodr_dc_omega,selected_growth_mass,selected_alpha_signal_mass,selected_reference_anchor_mass,val_overlay_avg_exposure,val_overlay_trigger_rate,val_budget_breach,val_budget_pass_rate,val_budget_active_ann_return,val_budget_path_dd_max_excess,val_budget_path_dd_breach_rate,test_overlay_avg_exposure,test_overlay_trigger_rate,pso_best_score,pso_particles,pso_iterations,tail_breach,tail_scale,tail_pass_rate,universe_raw_count,universe_broad_count,universe_selected_count,universe_selected_avg_opportunity_score,universe_selected_avg_fundamental_confidence,universe_selected_tail_admissible_rate,avg_state_stress,avg_state_growth_cap,avg_state_alpha_cap,WRC_p,SPA_p,PBO_proxy,WRC_AllCandidates_p,SPA_AllCandidates_p,PBO_AllCandidates_proxy,Promotion_Family,Promotion_Family_Size,Promotion_Min_Windows,Promotion_Block_Length,daily_ann_return,daily_xi_ann_return,daily_active_ann_return,daily_downside_capture,daily_downside_preservation,holdout_ann_return,holdout_xi_ann_return,holdout_active_ann_return,holdout_downside_capture,holdout_downside_preservation,research_gate_pass,holdout_gate_pass
upside_convex_anchor_dd_budget_policy,18,0.19208768506772647,0.10959095640085484,0.08249672866687163,0.09910944215291756,0.06386072217746316,0.011373044652221156,0.03194046024416788,0.9362830775033193,0.7550344496514564,0.5555555555555556,0.5566124953235986,0.2222222222222222,0.41415354663325765,0.0,0.6466291708744425,0.5563204286211483,0.1555743617425354,0.06696483621937856,0.09196450730271827,0.9579773841753373,0.12433862433862432,0.0687289153405178,0.1111111111111111,0.08648415476727024,0.004735164008942472,0.03306878306878305,0.9726987157954861,0.1111111111111111,0.10841314254285342,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.18477843204772865,0.10959095640085392,0.07518747564687472,0.6590047489905216,True,0.11071401865507777,0.02794643505429106,0.08276758360078666,0.5743210425202466,True,False,True
xcdr_v3_growth_control_policy,18,0.21336377381422958,0.10959095640085484,0.10377281741337471,0.11525538225149787,0.07417710539893754,0.013260331546339005,0.03753161463847785,1.0522221664289015,0.8583993489402305,0.5,0.5719314790182807,0.5,0.3852441280291546,0.05555555555555555,0.7611129684469305,0.6766180640955783,0.34444444444444444,0.1722222222222222,,,,,,,,,,,,,,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.21336377381422827,0.10959095640085392,0.10377281741337438,0.8697430437427117,False,0.1357311478280494,0.02794643505429106,0.10778471277375833,0.7990224193744527,False,False,False
enhanced_growth_anchor_crash_budget_policy,18,0.18736715787793143,0.10959095640085484,0.07777620147707658,0.10188257575350199,0.06566515475196037,0.011691677952483567,0.03324769799004475,0.9685534352435179,0.7995943106307508,0.5,0.4780971015443371,0.3888888888888889,0.36839678501269035,0.0,0.6758572702337634,0.5946456083421185,0.1797760316073535,0.06209031627370081,0.0831251359970137,0.9756400451362806,0.09126984126984124,,,,,,0.9854024203149494,0.05687830687830686,-0.06825015615270862,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.18754975637093285,0.10959095640085392,0.07795879997007892,0.8117239500925761,False,0.12822460439639327,0.02794643505429106,0.10027816934210224,0.733717459478946,False,False,False
enhanced_growth_anchor_dd_control_policy,18,0.18736715787793143,0.10959095640085484,0.07777620147707658,0.10188257575350199,0.06566515475196037,0.011691677952483567,0.03324769799004475,0.9685534352435179,0.7995943106307508,0.5,0.4780971015443371,0.3888888888888889,0.36839678501269035,0.0,0.6758572702337634,0.5946456083421185,0.1797760316073535,0.06209031627370081,0.0831251359970137,0.9756400451362806,0.09126984126984124,,,,,,0.9854024203149494,0.05687830687830686,-0.06825015615270862,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.18892026201367593,0.10959095640085392,0.07932930561282195,0.8166413603424104,False,0.1279365254667109,0.02794643505429106,0.09999009041241978,0.7396884864228918,False,False,False
tail_aware_anchor_dd_budget_policy,18,0.18896776085137768,0.10959095640085484,0.07937680445052284,0.0980654639504797,0.0640055583956014,0.011506438374916918,0.03225019156313047,0.9440806139840677,0.7708577302339489,0.5,0.48884954187759383,0.3333333333333333,0.36992399991286634,0.0,0.6579510075464172,0.5750316773638655,0.2405743617425354,0.10053587182925636,0.0778792721339453,0.9706673670393915,0.10317460317460314,0.05405136633335612,0.1111111111111111,0.07645279092388181,0.0030263504373893944,0.014991181657848296,0.9747425143919646,0.10185185185185183,-0.06154430629392956,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.1783513676652467,0.10959095640085392,0.06876041126439272,0.6732022964013701,True,0.1137368011470021,0.02794643505429106,0.08579036609271103,0.6310390353385696,True,False,True
balanced_anchor_xodr_v1_policy,18,0.1939296284864852,0.10959095640085484,0.08433867208563037,0.10456184897928732,0.06709798692764259,0.011940224329428917,0.033875313097394305,0.9806350689624743,0.8025192479357122,0.4444444444444444,0.48703757669394065,0.3888888888888889,0.3662109506727763,0.0,0.6935866359871216,0.6107126920821994,0.21361741615016497,0.07246709768683533,0.07636592835322228,,,,,,,,,,-0.0721203626860212,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.19392962848648382,0.10959095640085392,0.08433867208562992,0.8225695542343741,False,0.1358607513883521,0.02794643505429106,0.10791431633406101,0.7542019874404693,False,False,False
fundamental_upside_convex_anchor_dd_budget_policy,18,0.19623736660335836,0.10959095640085484,0.08664641020250348,0.09766021562154291,0.06338067810616899,0.011371964106509522,0.03185340120688758,0.935487316890712,0.7453407609682408,0.3888888888888889,0.562469839372829,0.3333333333333333,0.4146582219906306,0.0,0.6536307883238471,0.5580757376489178,0.20835213952031317,0.08636428429917975,0.08266740470156206,0.9654756870584222,0.11331569664902998,0.04740724469903949,0.16666666666666666,0.0818667794637009,0.004538610062911438,0.019841269841269816,0.9742405012025119,0.09259259259259259,0.10086487896443481,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.18465446998580387,0.10959095640085392,0.07506351358494992,0.6477598188249504,True,0.12310548445183715,0.02794643505429106,0.09515904939754607,0.5937523360835679,True,False,True
tail_convex_anchor_dd_budget_policy,18,0.18823766638956935,0.10959095640085484,0.07864670998871448,0.09732883726687241,0.06338563690066129,0.011354568812720222,0.03169131470210735,0.9331666680042231,0.7573457871247188,0.3888888888888889,0.5065860742884426,0.2777777777777778,0.387008651231322,0.0,0.6466436569449114,0.5596243578051665,0.2572399728536465,0.10196589177493412,0.07533544300830797,0.9701709402503753,0.10582010582010581,0.038718007296994456,0.16666666666666666,0.07510736975881309,0.0032782201582244614,0.015432098765432077,0.9739683623973365,0.0886243386243386,0.07371383282527898,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.17651964266341263,0.10959095640085392,0.06692868626255873,0.6583880310853739,True,0.1202333722483945,0.02794643505429106,0.09228693719410339,0.6106755594993364,True,False,True
enhanced_growth_anchor_dd_budget_policy,18,0.19606413918125415,0.10959095640085484,0.0864731827803993,0.1009566712830539,0.06568905884935858,0.011812432081125116,0.03318928881084438,0.964913390012414,0.778545674970801,0.2777777777777778,0.5299143477273943,0.3888888888888889,0.38797606742009133,0.0,0.6777635632137797,0.5889853088664089,0.2700866427184646,0.09344637182925636,0.07317900907488888,0.9686618094789835,0.10317460317460317,0.06020469637647087,0.1111111111111111,0.08232372350977096,0.0037831022616813723,0.018959435626102264,0.9718441439795266,0.11243386243386243,-0.06825015615270862,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.18150943607249848,0.10959095640085392,0.07191847967164457,0.6903166374302031,True,0.11760478649312912,0.02794643505429106,0.08965835143883806,0.6371739744019616,True,False,True
fundamental_upside_recovery_anchor_dd_budget_policy,18,0.199726303159156,0.10959095640085484,0.09013534675830114,0.09940663957819809,0.0640302513195811,0.0114450594816766,0.03215244085150569,0.9442377180828438,0.7519540002184893,0.2777777777777778,0.5706156240113148,0.3333333333333333,0.41679463823648727,0.0,0.6631827120413534,0.5652302393616037,0.2194632506314243,0.1058087287436242,0.07997143811505276,0.9781434214031705,0.08509700176366841,0.05484197876971624,0.4444444444444444,0.08492985461377728,0.00548802447002095,0.02469135802469134,0.987259647569917,0.04629629629629629,0.10086487896443481,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.19003073630966746,0.10959095640085392,0.0804397799088135,0.6656986753206142,True,0.1207509165495397,0.02794643505429106,0.09280448149524861,0.6009756293249083,True,False,True
